intentId,contestId,candidateId,amount,status,createdAt
6mtybx0EDtc7eKXHP5XS,votes-artistes,TXBLgEfug2LJqx5MXWe4,500,pending,2025-12-19T18:16:02.108Z
6n9skVbJcOhDgIo1LYcp,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T14:18:17.017Z
6wtoYaxe1jGZf1lr05I0,votes-artistes,TXBLgEfug2LJqx5MXWe4,14500,pending,2025-12-19T22:55:43.366Z
6zBcaj9txYKzgcInGo6O,votes-artistes,TXBLgEfug2LJqx5MXWe4,10000,pending,2025-12-18T23:07:40.500Z
6zRuiQXEjbzor4840Xr9,votes-artistes,oucOMPgDKDQR8GKDvFHJ,30000,pending,2025-12-19T22:00:12.982Z
74sdmtyZuDxXTbQpcTsd,votes-artistes,lrK8tSxZpQPYFTmIF7On,100,pending,2025-12-19T22:09:39.876Z
7CrDcnV4U2TRiTLosbTu,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T16:26:15.994Z
7Mf1aZVoEV29HuApa8PY,votes-artistes,RIAr7Uw1uo74gAhWWM9c,200,pending,2025-12-16T13:34:39.116Z
7PRV2yCSsUWsBot311J2,votes-artistes,TXBLgEfug2LJqx5MXWe4,1000,pending,2025-12-17T13:41:58.468Z
7PcbM4EOkUKlkS0cBvmD,votes-artistes,lrK8tSxZpQPYFTmIF7On,100,pending,2025-12-16T15:14:29.482Z
7Ps4hqm32Bshx35t5uyB,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-17T08:17:33.120Z
7cGFAz4NfV8i1sOGg9AO,votes-artistes,noLuODpebT7EXpZWBRkH,100,pending,2025-12-15T08:43:21.473Z
7nodyyHV7G3loNENDQq4,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-16T06:00:10.251Z
7qVoHeSpdG4IeoSyUuVo,votes-artistes,TXBLgEfug2LJqx5MXWe4,22500,pending,2025-12-16T22:35:18.482Z
82TB4CMYZ0AXHcFOSqxT,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-20T11:58:36.001Z
86slvYBTfTYKksqiydq9,votes-artistes,R3DRrtGPGfw8jsQxG4r8,100,pending,2025-12-15T19:55:03.971Z
87pp9HaGClG9je9KqT4X,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T18:24:52.204Z
88xYoGM0EPIJ44oCN9Fk,votes-artistes,TXBLgEfug2LJqx5MXWe4,10300,pending,2025-12-19T21:52:35.295Z
8BvJ6qJ1A0LCQbrPFrZP,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-17T14:37:50.188Z
8I2d5nXIZlvPN3FLk8xH,votes-artistes,RIAr7Uw1uo74gAhWWM9c,3800,pending,2025-12-15T17:39:34.095Z
8KlhlYpssxkURMEbxq2B,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T19:36:23.969Z
8bhw9v79aUM1qmFVKBom,votes-artistes,oucOMPgDKDQR8GKDvFHJ,20000,pending,2025-12-19T22:01:40.563Z
8bzVAb9dtLmxPJTaPxK8,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T08:58:57.867Z
