id,contestId,name,media,biography,slug,phoneHash,photoUrl,photoPath,source,status,voteCount,createdAt,publishedAt,updatedAt
lVcubFS8yG3XDW7igGdw,f9NdI6f1lH7Z2ZxUzEFt,Abihona Pascal,Binto Media,Binto Media,abihona-pascal-binto-media,8ec758d05e503200b93e6b39b2042bc7c3e370bdeab779d1cbe59051dd6a8c57,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F8ec758d05e503200-c0a0016014.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/8ec758d05e503200-c0a0016014.jpg,form,published,0,2025-11-14T18:15:01.539Z,2025-11-14T18:15:01.539Z,2025-11-14T18:15:01.539Z
6YphVojIK9lK8pASxRka,f9NdI6f1lH7Z2ZxUzEFt,Adam Abdou Fataï,Footeusesplusafrica,Footeusesplusafrica,adam-abdou-fatai-footeusesplusafrica,086798e1519805bca7aaebdf52905516d0e54e34fc8dcc49edd1908d1ba0ece9,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F086798e1519805bc-323abff08a.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/086798e1519805bc-323abff08a.jpg,form,published,0,2025-11-15T14:46:45.857Z,2025-11-15T14:46:45.857Z,2025-11-15T14:46:45.857Z
X4HfiFAoLiPuntTiyL1P,f9NdI6f1lH7Z2ZxUzEFt,ADAM SOULE,Journaliste à océan FM,"Journaliste à océan FM, correspondant de la WEST AFRICA DEMOCRACY RADIO AU BENIN.",adam-soule-journaliste-a-ocean-fm,5a94b41a557afb423da6c4bcccf93242a8d586f5609624ba31aea4433b39dfd7,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F5a94b41a557afb42-1d322454bb.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/5a94b41a557afb42-1d322454bb.jpg,form,published,0,2025-11-15T04:59:04.871Z,2025-11-15T04:59:04.871Z,2025-11-15T04:59:04.871Z
tPn7LS3Xx4uoO8D0zf58,f9NdI6f1lH7Z2ZxUzEFt,ADANYOSSI Pierrette,SRTB Bohicon,SRTB Bohicon,adanyossi-pierrette-srtb-bohicon,4767e3b38021767b28e755f08d8e8808d385e44fde971515490d09e2f964bb87,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F4767e3b38021767b-023d773af4.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/4767e3b38021767b-023d773af4.jpg,form,published,0,2025-11-14T10:41:05.657Z,2025-11-14T10:41:05.657Z,2025-11-14T10:41:05.657Z
u8PIZaIYZpO1rXoNxndB,f9NdI6f1lH7Z2ZxUzEFt,ANAGONOU LORIC,Indépendant,Indépendant,anagonou-loric-independant,780dcf5d9fd5b77579c4d9ad5b8b907a4fd55b360044e16fd056f9315a654940,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F780dcf5d9fd5b775-a36622fe34.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/780dcf5d9fd5b775-a36622fe34.jpg,form,published,0,2025-11-13T07:52:40.716Z,2025-11-13T07:52:40.716Z,2025-11-13T07:52:40.716Z
kljB8PupXpDE9LCtu9Fi,f9NdI6f1lH7Z2ZxUzEFt,CHABOSSOU Moro-Ndiya Ange de Gloire Ponellia Elom,Radio Tokpa,Radio Tokpa,chabossou-moro-ndiya-ange-de-gloire-ponellia-elom-radio-tokpa,c7d9ea75b3af59c5e33b0de6f556dc2a8b6059920761c6d462475210488b054b,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fc7d9ea75b3af59c5-f9896cfa73.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/c7d9ea75b3af59c5-f9896cfa73.jpg,form,published,0,2025-11-16T16:27:41.133Z,2025-11-16T16:27:41.133Z,2025-11-16T16:27:41.133Z
5kfRrYH6W44Kmwt14ZMM,f9NdI6f1lH7Z2ZxUzEFt,Evrard Djissou,MEGA SPORTS,MEGA SPORTS,evrard-djissou-mega-sports,191b804a3a792d9fe8a3657c110b5037fd059ccf84119bf343a55f4ece3024bf,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F191b804a3a792d9f-15ad58fd77.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/191b804a3a792d9f-15ad58fd77.jpg,form,published,0,2025-11-16T22:23:03.860Z,2025-11-16T22:23:03.860Z,2025-11-16T22:23:03.860Z
41pIB4JzqUAHHcnA4fSa,f9NdI6f1lH7Z2ZxUzEFt,GBESSEMEHLAN José,Légibénin Radio,Légibénin Radio,gbessemehlan-jose-legibenin-radio,94b1f536924fe096f5fec95da4294fe495ba8130f3e582faa854d9526a53dbaa,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F94b1f536924fe096-e4316ce99b.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/94b1f536924fe096-e4316ce99b.jpg,form,published,0,2025-11-14T09:12:08.457Z,2025-11-14T09:12:08.457Z,2025-11-14T09:12:08.457Z
2PvZqYFEMyPkyVepkC3H,f9NdI6f1lH7Z2ZxUzEFt,Sènami Luce-Marius ZOCLI,AGBANGNIZOUN FM,AGBANGNIZOUN FM,senami-luce-marius-zocli-agbangnizoun-fm,27bedcd3b5a7efc69eaf43a99f7ecfc30ba613f8255639465d2d2e58154e2795,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F27bedcd3b5a7efc6-0b10028a1f.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/27bedcd3b5a7efc6-0b10028a1f.jpg,form,published,0,2025-11-15T14:05:55.160Z,2025-11-15T14:05:55.160Z,2025-11-15T14:05:55.160Z
yjFuYEnurOP0xCt11BhZ,f9NdI6f1lH7Z2ZxUzEFt,Soumari Jacob YANTCHA,Indépendant,Indépendant,soumari-jacob-yantcha-independant,f68278c1ab62dfa23d1fd3456b8b67194cbe7d01d687944b0160a4bae2ad409b,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Ff68278c1ab62dfa2-1e161da46b.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/f68278c1ab62dfa2-1e161da46b.jpg,form,published,0,2025-11-14T13:58:48.927Z,2025-11-14T13:58:48.927Z,2025-11-14T13:58:48.927Z
CDmTmCeH8zSVpBxjwVRp,f9NdI6f1lH7Z2ZxUzEFt,Tayé Maruis DJAGOU,Indépendant,Indépendant,taye-maruis-djagou-independant,a4ec860ae19b04df882618a81ce135d84ce9da92ad5c627aa70d7add9a3e3bf5,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fa4ec860ae19b04df-eaa304408a.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/a4ec860ae19b04df-eaa304408a.jpg,form,published,0,2025-11-13T18:36:20.551Z,2025-11-13T18:36:20.551Z,2025-11-13T18:36:20.551Z
YLL630Bh3uHNsjVcaCWw,f9NdI6f1lH7Z2ZxUzEFt,TEOURO,SRTB (Radio Bénin Alafia ),SRTB (Radio Bénin Alafia ),teouro-srtb-radio-benin-alafia,81f5e794dbefff7cbd05c7ce23e9c9363be1ed527f9352250f22ad47c4fbb036,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F81f5e794dbefff7c-3d6aa7f4ec.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/81f5e794dbefff7c-3d6aa7f4ec.jpg,form,published,0,2025-11-14T10:27:05.441Z,2025-11-14T10:27:05.441Z,2025-11-14T10:27:05.441Z
